Reference Designator,Description,Manufacturer,Manufacturer Part Number,Suppliers,Package,Quantity,Capacitance,Voltage,Is Generic,Symbol Type,Nobom,Mouser Part Number,Digikey Part Number,Verified Pad Assignment,Temperature Range Low,Verified Attributes,Verified Pin Names,Digikey Description,Verified Geometry,Mfg Package Ident,Temperature Range High,Centroid Not Specified,Ipc Land Pattern Name,Imported,Component Link 1 Url,Component Link 1 Description,If Max,Vr Max,Vault Guid,Vbr Min,Footprint Variant Name 2,Footprint Variant Name 1,Footprint Variant Name 0,Vf Max,Ciiva Ids,Package Version,Release Date,Vault Revision,Trr Max,Ir Max,Component Link 3 Description,Import Ts,Green,Package Description,Imported From,Configuration,Conn 0 Type,Conn 1 Type,Mounting Technology,Conn 2 Type,Component Link 3 Url,Resistance,Resistor,Inductance,Footprint Parameters 0,Operating Force,Termination Style,Operating Temperature,Actuator Orientation,Mechanical Life,"Actuator Height Off Pcb, From Pins",Standard Package,Outline,Switch Function,Circuit,Contact Rating @ Voltage,Mounting Type,Packaging,Switch Travel,Actuator Type,Illumination,Device Class L2,Device Class L1,Other Names,Device Class L3,Conn 22 Type,Conn 7 Type,Conn 41 Type,Conn 10 Type,Conn 3 Type,Conn 34 Type,Conn 29 Type,Conn 19 Type,Conn 47 Type,Conn 11 Type,Conn 17 Type,Conn 26 Type,Conn 14 Type,Conn 20 Type,Conn 38 Type,Conn 18 Type,Conn 16 Type,Conn 25 Type,Conn 28 Type,Conn 5 Type,Conn 21 Type,Conn 37 Type,Conn 40 Type,Conn 9 Type,Conn 31 Type,Conn 23 Type,Conn 44 Type,Conn 15 Type,Conn 27 Type,Conn 39 Type,Conn 42 Type,Conn 12 Type,Conn 30 Type,Conn 35 Type,Conn 6 Type,Conn 33 Type,Conn 13 Type,Conn 43 Type,Conn 46 Type,Conn 36 Type,Conn 8 Type,Conn 32 Type,Conn 24 Type,Conn 4 Type,Conn 45 Type,Conn 48 Type,Supply Voltage,Category 9E07530Daf1645C0,Category 08B8C5B23945D37F,Reach Svhc Compliance,Category 505D9D57619A8B9A,Lifecycle Status,Mounting Style,Category 181Ad51029E0C3Dd,Bandwidth,Supply Voltage Dc,Slew Rate,Supply Current,Category 20B3Edb914A9Fb74,Fixed Output Optionsv,Sub Family,Iq Typm A,Vin Max V,Vin Min V,Accuracy,Datasheet Version,Vdo Typm V,Vout Adjmaxv,Iout Max A,Vout Adjminv
D1 D2 D3 D4,LED COOL WHITE DIFFUSED 0603 SMD,Broadcom,HSMW-C191,,0603,4,,,,,,630-HSMW-C191,516-2236-1-ND,true,-40°C,true,true,LED COOL WHITE DIFFUSED 0603 SMD,true,LED_0630,+85°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D5,"Red, Green, Blue (RGB) 622nm Red, 530nm Green, 470nm Blue LED Indication - Discrete 1.9V Red, 3V Green, 3V Blue 4-PLCC",Cree Inc.,CLVBA-FKA-CAEDH8BBB7A363,,PLCC4,1,,,,,,941-VBAFKACAEDH8B7A3,CLVBA-FKA-CAEDH8BBB7A363CT-ND,true,-40°C,true,true,LED RGB DIFFUSED 4PLCC SMD,true,,+100°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6,DIODE SCHOTTKY 20V 500MA 0603,Comchip Technology,CDBU0520,,0603,1,,,,,,,,,,,,,,,,,CAPC16080X45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D7 D8 D9,INF-D_A1K2C3-3,Infineon,MMBD7000,,SOT23,3,,,,,,,,true,,true,true,,true,,,,,yes,http://www.infineon.com/,Manufacturer URL,200Â mA,100Â V,86C1F83D-EC59-44F1-9867-E9D6C11F6D6A,100Â V,Level A,Level B,Level C,1.25Â V,21174180,Apr-08,1409237748,CDAFAE1B-41C8-4BAF-B02C-B3E8A5C9B73F,4Â ns,500Â nA,Package Specification,1521862220,true,"3-Pin Small Outline Transistor Package, 1.3 x 2.9 mm Body, 0.95 mm Pitch",vault,Dual,passive,passive,Surface Mount,passive,http://www.infineon.com/dgdl/SOT23-Package_Overview.pdf?folderId=db3a30431936bc4b0119532290053c66&fileId=db3a30431936bc4b0119533468123c85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1,40-Pin GPIO Through Holes for Raspberry Pi,N/A,40-Pin Raspberry Pi B+ GPIO Through Holes,,40-Pin 2.54mm Pitch Through Holes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5 J6,No description,AMPHENOL,132357-11,,CONN_SMA_9MM52_7M92,2,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L10 L12 L13 L14 L8 L9,Generic Inductor (1e-07H),Generic,Inductor (1e-07H),,0805 (2012 metric),6,,,true,Inductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75R @100MHz,1e-07H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1 R2 R3 R4,Generic Resistor (649),Generic,Resistor (649),,0603 (1608 metric),4,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R10 R5 R7 R8 R9,Generic Resistor (100),Generic,Resistor (100),,0402 (1005 metric),5,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R15 R16 R17 R18 R36 R41 R42 R44 R45 R6 R37,Generic Resistor (10000),Generic,Resistor (10000),,0402 (1005 metric),11,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R26 R27,Generic Resistor (0),Generic,Resistor (0),,0603 (1608 metric),2,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R38 R39,Generic Resistor (18),Generic,Resistor (18),,0402 (1005 metric),2,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R40,Generic Resistor (0),Generic,Resistor (0),,0402 (1005 metric),1,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R43,Generic Resistor (1000),Generic,Resistor (1000),,0402 (1005 metric),1,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R46,Generic Resistor (280),Generic,Resistor (280),,0402 (1005 metric),1,,,true,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1 S2,No description,Panasonic Electronic Components,EVQ-P9P02M,,,2,,,,,,,,,,,,,,,,No,DFN400X400X80-14,,,,,,,,,,,,,,,,,,,,,,PartsBot,,,,,,,,,,"{""fp_type"":""DFN"",""params"":{""N"":{""nom"":""14"",""long name"":""Number of leads"",""min"":null,""max"":null,""short name"":""N"",""type"":""count""},""A"":{""nom"":false,""long name"":""Height"",""min"":false,""max"":800000,""short name"":""A"",""type"":""measurement""},""A1"":{""nom"":0,""long name"":""Package clearance"",""min"":false,""max"":false,""short name"":""A1"",""type"":""measurement""},""A2"":{""nom"":false,""long name"":""Package height"",""min"":false,""max"":800000,""short name"":""A2"",""type"":""measurement""},""D"":{""nom"":false,""long name"":""Package length"",""min"":3900000,""max"":4100000,""short name"":""D"",""type"":""measurement""},""E"":{""nom"":false,""long name"":""Package width"",""min"":3900000,""max"":4100000,""short name"":""E"",""type"":""measurement""},""B"":{""nom"":false,""long name"":""Lead width"",""min"":200000,""max"":300000,""short name"":""B"",""type"":""measurement""},""C"":{""nom"":100000,""long name"":""Lead thickness"",""min"":null,""max"":null,""short name"":""C"",""type"":""measurement""},""L"":{""nom"":false,""long name"":""Lead foot length"",""min"":300000,""max"":500000,""short name"":""L"",""type"":""measurement""},""e"":{""nom"":500000,""long name"":""Lead pitch"",""min"":null,""max"":null,""short name"":""e"",""type"":""measurement""},""HT"":{""default"":""No"",""long name"":""Thermal pad"",""type"":""multichoiceparent"",""short name"":""HT"",""children"":[]},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""LS"":{""default"":""Rounded rectangle"",""long name"":""Land shape"",""type"":""multichoice"",""short name"":""LS""},""LS1"":{""default"":""Rectangle"",""long name"":""Land shape (Pin 1)"",""type"":""multichoice"",""short name"":""LS1""},""solder toe"":{""nom"":200000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":0,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":-40000,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":100000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""C"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]}}}",500gf,J Lead,-40°C ~ 85°C,Top Actuated,"200,000 Cycles",2.10mm,"4,000",4.70mm x 3.50mm,Off-Mom,SPST-NO,0.02A @ 15VDC,Surface Mount,Cut Tape (CT),0.25mm,Rectangular Button,Non-Illuminated,unset,unset,P15949SCT,unset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U1,FPGA,Lattice,iCE40UP5K-SG48I,,QFN48,1,,,,,,,,,,,,,,,,,QFN50P700X700X90-48,,,,,,,,,,,,,,,,,,,,,,,,,I/O,,I/O,,,,,"{""fp_type"":""QFN"",""params"":{""N1"":{""nom"":12,""long name"":""Leads on long side"",""min"":null,""max"":null,""short name"":""N1"",""type"":""count""},""N2"":{""nom"":12,""long name"":""Leads on wide side"",""min"":null,""max"":null,""short name"":""N2"",""type"":""count""},""A"":{""nom"":false,""long name"":""Height"",""min"":800000,""max"":1000000,""short name"":""A"",""type"":""measurement""},""A1"":{""nom"":false,""long name"":""Package clearance"",""min"":0,""max"":50000,""short name"":""A1"",""type"":""measurement""},""A2"":{""nom"":false,""long name"":""Package height"",""min"":800000,""max"":false,""short name"":""A2"",""type"":""measurement""},""D"":{""nom"":7000000,""long name"":""Package length"",""min"":false,""max"":false,""short name"":""D"",""type"":""measurement""},""E"":{""nom"":7000000,""long name"":""Package width"",""min"":false,""max"":false,""short name"":""E"",""type"":""measurement""},""B"":{""nom"":200000,""long name"":""Lead width"",""min"":150000,""max"":240000,""short name"":""B"",""type"":""measurement""},""C"":{""nom"":20000,""long name"":""Lead thickness"",""min"":null,""max"":null,""short name"":""C"",""type"":""measurement""},""L"":{""nom"":400000,""long name"":""Lead foot length"",""min"":350000,""max"":550000,""short name"":""L"",""type"":""measurement""},""e"":{""nom"":500000,""long name"":""Lead pitch"",""min"":null,""max"":null,""short name"":""e"",""type"":""measurement""},""HT"":{""default"":""Yes"",""long name"":""Thermal pad"",""type"":""multichoiceparent"",""short name"":""HT"",""children"":[""D2"",""E2"",""PC""]},""offset x"":{""nom"":0,""long name"":""X Center offset"",""min"":null,""max"":null,""short name"":""offset x"",""type"":""measurement""},""offset y"":{""nom"":0,""long name"":""Y Center offset"",""min"":null,""max"":null,""short name"":""offset y"",""type"":""measurement""},""LS"":{""default"":""Rectangle"",""long name"":""Land shape"",""type"":""multichoice"",""short name"":""LS""},""LS1"":{""default"":""Rounded rectangle"",""long name"":""Land shape (Pin 1)"",""type"":""multichoice"",""short name"":""LS1""},""solder toe"":{""nom"":200000,""long name"":""Solder fillet (toe)"",""min"":null,""max"":null,""short name"":""solder toe"",""type"":""fixedmeasurement""},""solder heel"":{""nom"":0,""long name"":""Solder fillet (heel)"",""min"":null,""max"":null,""short name"":""solder heel"",""type"":""fixedmeasurement""},""solder side"":{""nom"":-40000,""long name"":""Solder fillet (side)"",""min"":null,""max"":null,""short name"":""solder side"",""type"":""fixedmeasurement""},""courtyard"":{""nom"":100000,""long name"":""Courtyard"",""min"":null,""max"":null,""short name"":""courtyard"",""type"":""fixedmeasurement""},""SF"":{""default"":""C"",""long name"":""Packing level"",""type"":""multichoiceparent"",""short name"":""SF"",""help"":""http://support.upverter.com/customer/portal/articles/978783-what-is-a-footprint-packing-level"",""children"":[""solder toe"",""solder heel"",""solder side"",""courtyard""]},""D2"":{""nom"":5400000,""long name"":""Thermal pad length"",""min"":false,""max"":false,""short name"":""D2"",""type"":""measurement""},""E2"":{""nom"":5400000,""long name"":""Thermal pad width"",""min"":false,""max"":false,""short name"":""E2"",""type"":""measurement""},""PC"":{""long name"":""Paste coverage (%)"",""type"":""percentage"",""short name"":""PC"",""value"":""50""}}}",,,,,,,,,,,,,,,,,unset,unset,,unset,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,I/O,power,,,,,,,,,,,,,,,,,,,,,,,,
U10,High-Speed ±100V 2.5A Two-or-Three-Level Ultrasound Pulsers,Microchip,HV7361GA-G,,CABGA222,1,,,,,,579-HV7361GA-G,HV7361GA-G-ND,true,-20°C,true,true,IC ULTRASOUND DRIVER 22CABGA,true,JY,+85°C,No,BGA126N50P9X14_700X500X70,,,,,,,,,,,,,,,,,,,,,,,,power,input,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,power,power,,,power,,power,input,,output,power,,power,power,,,input,power,,,power,,,,output,,,,output,,,input,,power,,,,power,,,power,,,4.75V ~ 11.5V,,,,,,,,,,,,,,,,,,,,,,,
U2,"Buffer, Non-Inverting 2 Element 1 Bit per Element Push-Pull Output SOT-23-6",Texas Instruments,SN74LVC2G17DBVR,,SOT-23-6,0,,,,,true,595-SN74LVC2G17DBVR,296-13012-1-ND,true,-40°C,true,true,IC BUFF DL SCHMIT TRIG SOT23-6,true,DBV (R-PDSO-G6),+125°C,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U261,"12-Bit, 20 MSPS/40 MSPS/65 MSPS/80 MSPS bigger holes",Analog,AD9629BCPZ-65,,CP-32-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U281 U282,2x1 Male Header,,Male Header - 2 pin,,pitch = 2.54mm,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U284,,ANALOG DEVICES,AD8331ARQZ,Digi-Key AD8331ARQZ-ND/Newark 59K6617,SOP64P600X165-20N,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semiconductors and Actives,"Amplifiers, Buffers",No SVHC,Uncategorized,Active,surface mount,Operational Amplifiers (General Purpose),120000000.0Hz,5.0V,650.0V/μs,0.025A,Uncategorized,,,,,,,,,,,
U3,"High-Accuracy, Low-Power, Digital Temperature Sensor With SMBus and Two-Wire Serial Interface in SOT563",Texas Instruments,TMP112AIDRLR,,SOT6,1,,,,,,595-TMP112AIDRLR,296-38578-1-ND,true,-40°C,true,true,SENSOR TEMP I2C/SMBUS 6SOT,true,,+125°C,No,,,,,,,,,,,,,,,,,,,,,,,,,input,power,,output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,I/O,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,
U5,NOR MEMORy 1M,WINBOND,W25X10CLSNIG,,SOIC-SA8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U6,TI-TLV707XXX-DQN4-480X480TP,Texas Instruments,TLV70718PDQNR,,DQN0004A,1,,,,,,,,false,,false,false,,false,,,,,yes,http://www.ti.com/,Manufacturer URL,,,3F66D4EA-FB2E-40E5-83D0-DABEA24CEAAC,,,,,,,4210367/D,,,,,,1521171487,,"4-Pin Plastic Small Outline, Body 1 x 1 mm, Pitch 0.65 mm",vault,,,,Surface Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,Single Channel LDO,0.02,5.5,2,1.5,SBVS153C,250,1.8,0.2,1.8
